,Transaction Month,Bank Code,Value,Bank Rank per Month,Avg Value per Rank,Avg Bank Rank
0,March,DTB,1448,1.0,5044.923566878981,1.8333333333333333
1,March,DTB,8772,1.0,5044.923566878981,1.8333333333333333
2,March,DTB,4305,1.0,5044.923566878981,1.8333333333333333
3,March,DTB,2006,1.0,5044.923566878981,1.8333333333333333
4,March,DTB,5861,1.0,5044.923566878981,1.8333333333333333
5,March,DTB,8397,1.0,5044.923566878981,1.8333333333333333
6,March,DTB,5156,1.0,5044.923566878981,1.8333333333333333
7,March,DTB,9742,1.0,5044.923566878981,1.8333333333333333
8,March,DTB,6812,1.0,5044.923566878981,1.8333333333333333
9,March,DTB,7883,1.0,5044.923566878981,1.8333333333333333
10,March,DTB,9250,1.0,5044.923566878981,1.8333333333333333
11,March,DTB,87,1.0,5044.923566878981,1.8333333333333333
12,March,DTB,5483,1.0,5044.923566878981,1.8333333333333333
13,March,DTB,1813,1.0,5044.923566878981,1.8333333333333333
14,March,DTB,3974,1.0,5044.923566878981,1.8333333333333333
15,March,DTB,1626,1.0,5044.923566878981,1.8333333333333333
16,October,DTB,8105,1.0,5044.923566878981,1.8333333333333333
17,October,DTB,1582,1.0,5044.923566878981,1.8333333333333333
18,October,DTB,1725,1.0,5044.923566878981,1.8333333333333333
19,October,DTB,9460,1.0,5044.923566878981,1.8333333333333333
20,October,DTB,3399,1.0,5044.923566878981,1.8333333333333333
21,October,DTB,2418,1.0,5044.923566878981,1.8333333333333333
22,October,DTB,8609,1.0,5044.923566878981,1.8333333333333333
23,October,DTB,3379,1.0,5044.923566878981,1.8333333333333333
24,October,DTB,6051,1.0,5044.923566878981,1.8333333333333333
25,October,DTB,4230,1.0,5044.923566878981,1.8333333333333333
26,October,DTB,9473,1.0,5044.923566878981,1.8333333333333333
27,October,DTB,464,1.0,5044.923566878981,1.8333333333333333
28,October,DTB,4488,1.0,5044.923566878981,1.8333333333333333
29,October,DTB,9386,1.0,5044.923566878981,1.8333333333333333
30,January,DTB,8573,1.0,5044.923566878981,1.8333333333333333
31,January,DTB,7017,1.0,5044.923566878981,1.8333333333333333
32,January,DTB,3723,1.0,5044.923566878981,1.8333333333333333
33,January,DTB,6015,1.0,5044.923566878981,1.8333333333333333
34,January,DTB,2377,1.0,5044.923566878981,1.8333333333333333
35,January,DTB,3688,1.0,5044.923566878981,1.8333333333333333
36,January,DTB,1801,1.0,5044.923566878981,1.8333333333333333
37,January,DTB,6062,1.0,5044.923566878981,1.8333333333333333
38,January,DTB,5762,1.0,5044.923566878981,1.8333333333333333
39,January,DTB,6708,1.0,5044.923566878981,1.8333333333333333
40,February,DTB,4684,1.0,5044.923566878981,1.8333333333333333
41,February,DTB,5271,1.0,5044.923566878981,1.8333333333333333
42,February,DTB,8591,1.0,5044.923566878981,1.8333333333333333
43,February,DTB,674,1.0,5044.923566878981,1.8333333333333333
44,February,DTB,8413,1.0,5044.923566878981,1.8333333333333333
45,February,DTB,6177,1.0,5044.923566878981,1.8333333333333333
46,February,DTB,4513,1.0,5044.923566878981,1.8333333333333333
47,February,DTB,1023,1.0,5044.923566878981,1.8333333333333333
48,February,DTB,3234,1.0,5044.923566878981,1.8333333333333333
49,February,DTB,9741,1.0,5044.923566878981,1.8333333333333333
50,February,DTB,5865,1.0,5044.923566878981,1.8333333333333333
51,December,DTB,1428,1.0,5044.923566878981,1.8333333333333333
52,December,DTB,3581,1.0,5044.923566878981,1.8333333333333333
53,December,DTB,6357,1.0,5044.923566878981,1.8333333333333333
54,December,DTB,4899,1.0,5044.923566878981,1.8333333333333333
55,December,DTB,6335,1.0,5044.923566878981,1.8333333333333333
56,December,DTB,3396,1.0,5044.923566878981,1.8333333333333333
57,December,DTB,1163,1.0,5044.923566878981,1.8333333333333333
58,December,DTB,3603,1.0,5044.923566878981,1.8333333333333333
59,December,DTB,6505,1.0,5044.923566878981,1.8333333333333333
60,December,DTB,3182,1.0,5044.923566878981,1.8333333333333333
61,December,DTB,8751,1.0,5044.923566878981,1.8333333333333333
62,December,DTB,118,1.0,5044.923566878981,1.8333333333333333
63,September,DTB,6395,1.0,5044.923566878981,1.8333333333333333
64,September,DTB,4057,1.0,5044.923566878981,1.8333333333333333
65,September,DTB,2061,1.0,5044.923566878981,1.8333333333333333
66,September,DTB,8588,1.0,5044.923566878981,1.8333333333333333
67,September,DTB,7061,1.0,5044.923566878981,1.8333333333333333
68,September,DTB,5084,1.0,5044.923566878981,1.8333333333333333
69,September,DTB,2528,1.0,5044.923566878981,1.8333333333333333
70,September,DTB,1906,1.0,5044.923566878981,1.8333333333333333
71,September,DTB,4326,1.0,5044.923566878981,1.8333333333333333
72,September,DTB,13,1.0,5044.923566878981,1.8333333333333333
73,September,DTB,7500,1.0,5044.923566878981,1.8333333333333333
74,November,DS,7839,1.0,5044.923566878981,1.75
75,November,DS,7908,1.0,5044.923566878981,1.75
76,November,DS,7768,1.0,5044.923566878981,1.75
77,November,DS,4793,1.0,5044.923566878981,1.75
78,November,DS,2185,1.0,5044.923566878981,1.75
79,November,DS,9422,1.0,5044.923566878981,1.75
80,November,DS,9737,1.0,5044.923566878981,1.75
81,November,DS,6833,1.0,5044.923566878981,1.75
82,November,DS,2228,1.0,5044.923566878981,1.75
83,November,DS,1044,1.0,5044.923566878981,1.75
84,November,DS,2509,1.0,5044.923566878981,1.75
85,November,DS,7338,1.0,5044.923566878981,1.75
86,November,DS,7767,1.0,5044.923566878981,1.75
87,November,DS,475,1.0,5044.923566878981,1.75
88,August,DS,7957,1.0,5044.923566878981,1.75
89,August,DS,8867,1.0,5044.923566878981,1.75
90,August,DS,7630,1.0,5044.923566878981,1.75
91,August,DS,5449,1.0,5044.923566878981,1.75
92,August,DS,6859,1.0,5044.923566878981,1.75
93,August,DS,6646,1.0,5044.923566878981,1.75
94,August,DS,670,1.0,5044.923566878981,1.75
95,August,DS,9446,1.0,5044.923566878981,1.75
96,August,DS,8305,1.0,5044.923566878981,1.75
97,August,DS,4593,1.0,5044.923566878981,1.75
98,August,DS,271,1.0,5044.923566878981,1.75
99,August,DS,5218,1.0,5044.923566878981,1.75
100,August,DS,4090,1.0,5044.923566878981,1.75
101,August,DS,6501,1.0,5044.923566878981,1.75
102,August,DS,8828,1.0,5044.923566878981,1.75
103,August,DS,1699,1.0,5044.923566878981,1.75
104,August,DS,1745,1.0,5044.923566878981,1.75
105,April,DS,2321,1.0,5044.923566878981,1.75
106,April,DS,6102,1.0,5044.923566878981,1.75
107,April,DS,6720,1.0,5044.923566878981,1.75
108,April,DS,2426,1.0,5044.923566878981,1.75
109,April,DS,8423,1.0,5044.923566878981,1.75
110,April,DS,9678,1.0,5044.923566878981,1.75
111,April,DS,7266,1.0,5044.923566878981,1.75
112,April,DS,5201,1.0,5044.923566878981,1.75
113,April,DS,3723,1.0,5044.923566878981,1.75
114,June,DS,4160,1.0,5044.923566878981,1.75
115,June,DS,1487,1.0,5044.923566878981,1.75
116,June,DS,203,1.0,5044.923566878981,1.75
117,June,DS,1804,1.0,5044.923566878981,1.75
118,June,DS,1114,1.0,5044.923566878981,1.75
119,June,DS,2185,1.0,5044.923566878981,1.75
120,June,DS,4419,1.0,5044.923566878981,1.75
121,June,DS,1861,1.0,5044.923566878981,1.75
122,June,DS,9687,1.0,5044.923566878981,1.75
123,June,DS,2659,1.0,5044.923566878981,1.75
124,June,DS,2902,1.0,5044.923566878981,1.75
125,June,DS,8205,1.0,5044.923566878981,1.75
126,June,DS,8132,1.0,5044.923566878981,1.75
127,June,DS,9740,1.0,5044.923566878981,1.75
128,June,DS,3547,1.0,5044.923566878981,1.75
129,June,DS,5763,1.0,5044.923566878981,1.75
130,June,DS,979,1.0,5044.923566878981,1.75
131,July,DSB,5520,1.0,5044.923566878981,2.4166666666666665
132,July,DSB,7446,1.0,5044.923566878981,2.4166666666666665
133,July,DSB,4289,1.0,5044.923566878981,2.4166666666666665
134,July,DSB,2991,1.0,5044.923566878981,2.4166666666666665
135,July,DSB,19,1.0,5044.923566878981,2.4166666666666665
136,July,DSB,7212,1.0,5044.923566878981,2.4166666666666665
137,July,DSB,4605,1.0,5044.923566878981,2.4166666666666665
138,July,DSB,6957,1.0,5044.923566878981,2.4166666666666665
139,July,DSB,1183,1.0,5044.923566878981,2.4166666666666665
140,July,DSB,8209,1.0,5044.923566878981,2.4166666666666665
141,July,DSB,5466,1.0,5044.923566878981,2.4166666666666665
142,July,DSB,7473,1.0,5044.923566878981,2.4166666666666665
143,July,DSB,9224,1.0,5044.923566878981,2.4166666666666665
144,May,DSB,4525,1.0,5044.923566878981,2.4166666666666665
145,May,DSB,5726,1.0,5044.923566878981,2.4166666666666665
146,May,DSB,1873,1.0,5044.923566878981,2.4166666666666665
147,May,DSB,1661,1.0,5044.923566878981,2.4166666666666665
148,May,DSB,4548,1.0,5044.923566878981,2.4166666666666665
149,May,DSB,8495,1.0,5044.923566878981,2.4166666666666665
150,May,DSB,5547,1.0,5044.923566878981,2.4166666666666665
151,May,DSB,6490,1.0,5044.923566878981,2.4166666666666665
152,May,DSB,6023,1.0,5044.923566878981,2.4166666666666665
153,May,DSB,3983,1.0,5044.923566878981,2.4166666666666665
154,May,DSB,2406,1.0,5044.923566878981,2.4166666666666665
155,May,DSB,9525,1.0,5044.923566878981,2.4166666666666665
156,May,DSB,3197,1.0,5044.923566878981,2.4166666666666665
157,August,DTB,5053,2.0,5027.689075630252,1.8333333333333333
158,August,DTB,8906,2.0,5027.689075630252,1.8333333333333333
159,August,DTB,7378,2.0,5027.689075630252,1.8333333333333333
160,August,DTB,7411,2.0,5027.689075630252,1.8333333333333333
161,August,DTB,71,2.0,5027.689075630252,1.8333333333333333
162,August,DTB,375,2.0,5027.689075630252,1.8333333333333333
163,August,DTB,1018,2.0,5027.689075630252,1.8333333333333333
164,August,DTB,9504,2.0,5027.689075630252,1.8333333333333333
165,August,DTB,1718,2.0,5027.689075630252,1.8333333333333333
166,August,DTB,8488,2.0,5027.689075630252,1.8333333333333333
167,August,DTB,3616,2.0,5027.689075630252,1.8333333333333333
168,August,DTB,9885,2.0,5027.689075630252,1.8333333333333333
169,August,DTB,1109,2.0,5027.689075630252,1.8333333333333333
170,August,DTB,5686,2.0,5027.689075630252,1.8333333333333333
171,August,DTB,3235,2.0,5027.689075630252,1.8333333333333333
172,August,DTB,1296,2.0,5027.689075630252,1.8333333333333333
173,November,DTB,8872,2.0,5027.689075630252,1.8333333333333333
174,November,DTB,5625,2.0,5027.689075630252,1.8333333333333333
175,November,DTB,1143,2.0,5027.689075630252,1.8333333333333333
176,November,DTB,3445,2.0,5027.689075630252,1.8333333333333333
177,November,DTB,2515,2.0,5027.689075630252,1.8333333333333333
178,November,DTB,4388,2.0,5027.689075630252,1.8333333333333333
179,November,DTB,4618,2.0,5027.689075630252,1.8333333333333333
180,November,DTB,9644,2.0,5027.689075630252,1.8333333333333333
181,November,DTB,1658,2.0,5027.689075630252,1.8333333333333333
182,January,DS,1967,2.0,5027.689075630252,1.75
183,January,DS,6423,2.0,5027.689075630252,1.75
184,January,DS,5010,2.0,5027.689075630252,1.75
185,January,DS,6413,2.0,5027.689075630252,1.75
186,January,DS,3252,2.0,5027.689075630252,1.75
187,January,DS,3584,2.0,5027.689075630252,1.75
188,January,DS,4166,2.0,5027.689075630252,1.75
189,January,DS,9153,2.0,5027.689075630252,1.75
190,January,DS,7417,2.0,5027.689075630252,1.75
191,February,DS,1309,2.0,5027.689075630252,1.75
192,February,DS,2461,2.0,5027.689075630252,1.75
193,February,DS,1525,2.0,5027.689075630252,1.75
194,February,DS,1943,2.0,5027.689075630252,1.75
195,February,DS,9190,2.0,5027.689075630252,1.75
196,February,DS,58,2.0,5027.689075630252,1.75
197,February,DS,5888,2.0,5027.689075630252,1.75
198,February,DS,2416,2.0,5027.689075630252,1.75
199,February,DS,736,2.0,5027.689075630252,1.75
200,July,DS,8805,2.0,5027.689075630252,1.75
201,July,DS,4209,2.0,5027.689075630252,1.75
202,July,DS,2916,2.0,5027.689075630252,1.75
203,July,DS,6321,2.0,5027.689075630252,1.75
204,July,DS,5817,2.0,5027.689075630252,1.75
205,July,DS,9745,2.0,5027.689075630252,1.75
206,July,DS,6436,2.0,5027.689075630252,1.75
207,July,DS,1248,2.0,5027.689075630252,1.75
208,July,DS,4421,2.0,5027.689075630252,1.75
209,July,DS,8227,2.0,5027.689075630252,1.75
210,July,DS,8511,2.0,5027.689075630252,1.75
211,May,DS,5177,2.0,5027.689075630252,1.75
212,May,DS,3109,2.0,5027.689075630252,1.75
213,May,DS,9231,2.0,5027.689075630252,1.75
214,May,DS,9662,2.0,5027.689075630252,1.75
215,May,DS,3517,2.0,5027.689075630252,1.75
216,May,DS,4151,2.0,5027.689075630252,1.75
217,May,DS,7577,2.0,5027.689075630252,1.75
218,May,DS,2637,2.0,5027.689075630252,1.75
219,October,DS,7427,2.0,5027.689075630252,1.75
220,October,DS,3007,2.0,5027.689075630252,1.75
221,October,DS,7144,2.0,5027.689075630252,1.75
222,October,DS,8939,2.0,5027.689075630252,1.75
223,October,DS,2282,2.0,5027.689075630252,1.75
224,October,DS,4676,2.0,5027.689075630252,1.75
225,October,DS,2281,2.0,5027.689075630252,1.75
226,October,DS,8500,2.0,5027.689075630252,1.75
227,October,DS,9455,2.0,5027.689075630252,1.75
228,September,DS,9644,2.0,5027.689075630252,1.75
229,September,DS,8758,2.0,5027.689075630252,1.75
230,September,DS,408,2.0,5027.689075630252,1.75
231,September,DS,9967,2.0,5027.689075630252,1.75
232,September,DS,1889,2.0,5027.689075630252,1.75
233,September,DS,5088,2.0,5027.689075630252,1.75
234,September,DS,4095,2.0,5027.689075630252,1.75
235,September,DS,452,2.0,5027.689075630252,1.75
236,September,DS,1733,2.0,5027.689075630252,1.75
237,September,DS,7364,2.0,5027.689075630252,1.75
238,March,DS,3855,2.0,5027.689075630252,1.75
239,March,DS,8863,2.0,5027.689075630252,1.75
240,March,DS,1535,2.0,5027.689075630252,1.75
241,March,DS,6584,2.0,5027.689075630252,1.75
242,March,DS,1486,2.0,5027.689075630252,1.75
243,March,DS,9957,2.0,5027.689075630252,1.75
244,March,DS,3513,2.0,5027.689075630252,1.75
245,March,DS,2296,2.0,5027.689075630252,1.75
246,March,DS,4328,2.0,5027.689075630252,1.75
247,December,DSB,118,2.0,5027.689075630252,2.4166666666666665
248,December,DSB,1509,2.0,5027.689075630252,2.4166666666666665
249,December,DSB,3919,2.0,5027.689075630252,2.4166666666666665
250,December,DSB,2952,2.0,5027.689075630252,2.4166666666666665
251,December,DSB,6707,2.0,5027.689075630252,2.4166666666666665
252,December,DSB,9787,2.0,5027.689075630252,2.4166666666666665
253,December,DSB,4052,2.0,5027.689075630252,2.4166666666666665
254,December,DSB,9952,2.0,5027.689075630252,2.4166666666666665
255,April,DSB,830,2.0,5027.689075630252,2.4166666666666665
256,April,DSB,5285,2.0,5027.689075630252,2.4166666666666665
257,April,DSB,7234,2.0,5027.689075630252,2.4166666666666665
258,April,DSB,2943,2.0,5027.689075630252,2.4166666666666665
259,April,DSB,6877,2.0,5027.689075630252,2.4166666666666665
260,April,DSB,3823,2.0,5027.689075630252,2.4166666666666665
261,April,DSB,4894,2.0,5027.689075630252,2.4166666666666665
262,April,DSB,6610,2.0,5027.689075630252,2.4166666666666665
263,April,DSB,5769,2.0,5027.689075630252,2.4166666666666665
264,April,DSB,900,2.0,5027.689075630252,2.4166666666666665
265,June,DSB,3335,2.0,5027.689075630252,2.4166666666666665
266,June,DSB,860,2.0,5027.689075630252,2.4166666666666665
267,June,DSB,3580,2.0,5027.689075630252,2.4166666666666665
268,June,DSB,9218,2.0,5027.689075630252,2.4166666666666665
269,June,DSB,9624,2.0,5027.689075630252,2.4166666666666665
270,June,DSB,5941,2.0,5027.689075630252,2.4166666666666665
271,June,DSB,9856,2.0,5027.689075630252,2.4166666666666665
272,June,DSB,9155,2.0,5027.689075630252,2.4166666666666665
273,June,DSB,8032,2.0,5027.689075630252,2.4166666666666665
274,June,DSB,1276,2.0,5027.689075630252,2.4166666666666665
275,June,DSB,6446,2.0,5027.689075630252,2.4166666666666665
276,May,DTB,1428,3.0,4632.797752808989,1.8333333333333333
277,May,DTB,7103,3.0,4632.797752808989,1.8333333333333333
278,May,DTB,2534,3.0,4632.797752808989,1.8333333333333333
279,May,DTB,2583,3.0,4632.797752808989,1.8333333333333333
280,May,DTB,3482,3.0,4632.797752808989,1.8333333333333333
281,May,DTB,5684,3.0,4632.797752808989,1.8333333333333333
282,May,DTB,8724,3.0,4632.797752808989,1.8333333333333333
283,May,DTB,1457,3.0,4632.797752808989,1.8333333333333333
284,May,DTB,9651,3.0,4632.797752808989,1.8333333333333333
285,May,DTB,997,3.0,4632.797752808989,1.8333333333333333
286,May,DTB,320,3.0,4632.797752808989,1.8333333333333333
287,July,DTB,1273,3.0,4632.797752808989,1.8333333333333333
288,July,DTB,8191,3.0,4632.797752808989,1.8333333333333333
289,July,DTB,4994,3.0,4632.797752808989,1.8333333333333333
290,July,DTB,3763,3.0,4632.797752808989,1.8333333333333333
291,July,DTB,436,3.0,4632.797752808989,1.8333333333333333
292,July,DTB,4289,3.0,4632.797752808989,1.8333333333333333
293,July,DTB,5489,3.0,4632.797752808989,1.8333333333333333
294,July,DTB,3479,3.0,4632.797752808989,1.8333333333333333
295,July,DTB,2429,3.0,4632.797752808989,1.8333333333333333
296,July,DTB,213,3.0,4632.797752808989,1.8333333333333333
297,July,DTB,1686,3.0,4632.797752808989,1.8333333333333333
298,April,DTB,5804,3.0,4632.797752808989,1.8333333333333333
299,April,DTB,310,3.0,4632.797752808989,1.8333333333333333
300,April,DTB,858,3.0,4632.797752808989,1.8333333333333333
301,April,DTB,9278,3.0,4632.797752808989,1.8333333333333333
302,April,DTB,3955,3.0,4632.797752808989,1.8333333333333333
303,April,DTB,3896,3.0,4632.797752808989,1.8333333333333333
304,April,DTB,8529,3.0,4632.797752808989,1.8333333333333333
305,April,DTB,8942,3.0,4632.797752808989,1.8333333333333333
306,June,DTB,738,3.0,4632.797752808989,1.8333333333333333
307,June,DTB,1892,3.0,4632.797752808989,1.8333333333333333
308,June,DTB,2104,3.0,4632.797752808989,1.8333333333333333
309,June,DTB,2786,3.0,4632.797752808989,1.8333333333333333
310,June,DTB,2546,3.0,4632.797752808989,1.8333333333333333
311,June,DTB,5605,3.0,4632.797752808989,1.8333333333333333
312,December,DS,1447,3.0,4632.797752808989,1.75
313,December,DS,9371,3.0,4632.797752808989,1.75
314,December,DS,4743,3.0,4632.797752808989,1.75
315,December,DS,6688,3.0,4632.797752808989,1.75
316,December,DS,1474,3.0,4632.797752808989,1.75
317,December,DS,6736,3.0,4632.797752808989,1.75
318,August,DSB,5375,3.0,4632.797752808989,2.4166666666666665
319,August,DSB,891,3.0,4632.797752808989,2.4166666666666665
320,August,DSB,6772,3.0,4632.797752808989,2.4166666666666665
321,August,DSB,5421,3.0,4632.797752808989,2.4166666666666665
322,August,DSB,3479,3.0,4632.797752808989,2.4166666666666665
323,August,DSB,6114,3.0,4632.797752808989,2.4166666666666665
324,November,DSB,2735,3.0,4632.797752808989,2.4166666666666665
325,November,DSB,3289,3.0,4632.797752808989,2.4166666666666665
326,November,DSB,7759,3.0,4632.797752808989,2.4166666666666665
327,November,DSB,453,3.0,4632.797752808989,2.4166666666666665
328,November,DSB,2749,3.0,4632.797752808989,2.4166666666666665
329,November,DSB,383,3.0,4632.797752808989,2.4166666666666665
330,November,DSB,7282,3.0,4632.797752808989,2.4166666666666665
331,November,DSB,4107,3.0,4632.797752808989,2.4166666666666665
332,November,DSB,8316,3.0,4632.797752808989,2.4166666666666665
333,February,DSB,4482,3.0,4632.797752808989,2.4166666666666665
334,February,DSB,5835,3.0,4632.797752808989,2.4166666666666665
335,February,DSB,2436,3.0,4632.797752808989,2.4166666666666665
336,February,DSB,6907,3.0,4632.797752808989,2.4166666666666665
337,February,DSB,268,3.0,4632.797752808989,2.4166666666666665
338,February,DSB,1793,3.0,4632.797752808989,2.4166666666666665
339,October,DSB,7295,3.0,4632.797752808989,2.4166666666666665
340,October,DSB,8013,3.0,4632.797752808989,2.4166666666666665
341,October,DSB,9695,3.0,4632.797752808989,2.4166666666666665
342,October,DSB,9280,3.0,4632.797752808989,2.4166666666666665
343,January,DSB,6107,3.0,4632.797752808989,2.4166666666666665
344,January,DSB,7570,3.0,4632.797752808989,2.4166666666666665
345,January,DSB,9038,3.0,4632.797752808989,2.4166666666666665
346,January,DSB,8010,3.0,4632.797752808989,2.4166666666666665
347,January,DSB,1172,3.0,4632.797752808989,2.4166666666666665
348,January,DSB,3771,3.0,4632.797752808989,2.4166666666666665
349,January,DSB,1143,3.0,4632.797752808989,2.4166666666666665
350,January,DSB,6323,3.0,4632.797752808989,2.4166666666666665
351,March,DSB,1747,3.0,4632.797752808989,2.4166666666666665
352,March,DSB,4310,3.0,4632.797752808989,2.4166666666666665
353,March,DSB,7580,3.0,4632.797752808989,2.4166666666666665
354,March,DSB,9402,3.0,4632.797752808989,2.4166666666666665
355,March,DSB,7072,3.0,4632.797752808989,2.4166666666666665
356,March,DSB,8019,3.0,4632.797752808989,2.4166666666666665
357,September,DSB,9556,3.0,4632.797752808989,2.4166666666666665
358,September,DSB,9324,3.0,4632.797752808989,2.4166666666666665
359,September,DSB,5275,3.0,4632.797752808989,2.4166666666666665
360,September,DSB,1085,3.0,4632.797752808989,2.4166666666666665
361,September,DSB,3056,3.0,4632.797752808989,2.4166666666666665
362,September,DSB,5814,3.0,4632.797752808989,2.4166666666666665
363,September,DSB,1849,3.0,4632.797752808989,2.4166666666666665
364,September,DSB,6060,3.0,4632.797752808989,2.4166666666666665
